编号,层,类型,房间,X米,Y米,相对本层Z米,说明,状态,备注
L1-01,1,light,客厅,5.0,6.4,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-02,1,light,客厅,8.3,6.4,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-03,1,light,餐厅,6,10.7,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-04,1,light,厨房,5.3,13.6,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-05,1,light,厨房,6.8,13.6,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-06,1,light,玄关,3,13.8,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-07,1,light,操盘房,1.3,10.5,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-08,1,light,父母卧室,1.8,2.3,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-09,1,light,父母卫浴,1.2,6.1,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-10,1,light,公卫,0.9,13.6,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L1-11,1,light,过厅,3.0,8.5,3.43,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
W1-01,1,water,卫浴,0.15,5.74,0.55,台盆冷热水意向,design_proposal,位置为意向；设备、回路与接入由专业深化确认
D1-01,1,drain,卫浴,0.68,6.9,0.02,淋浴地漏意向,design_proposal,以排水复测与专业坡向图为准，不代表原排水点
P1-01,1,power,床头,0.17,4.42,0.65,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P1-02,1,power,卫浴镜柜,0.17,5.3,1.18,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
S1-01,1,switch,卧室,3.42,4.93,1.1,卧室入口及床头联控,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-01,2,light,主卧,5.5,5.2,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-02,2,light,主卧,6.4,7.6,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-03,2,light,衣帽间,5.1,10.2,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-04,2,light,儿童预留房,1.6,2.1,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-05,2,light,公卫,1.2,6.1,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-06,2,light,阅读区,1.3,11.4,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-07,2,light,家政区,1.5,9.2,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-08,2,light,主卫,6.0,12.1,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L2-09,2,light,过厅,3,8.5,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
W2-01,2,water,卫浴,0.15,5.74,0.55,台盆冷热水意向,design_proposal,位置为意向；设备、回路与接入由专业深化确认
