编号,事项,原因,责任专业,解除条件,回复,日期
HP01,撤除原楼梯,杭州暂定所在地住宅主体/承重改动存在法定禁止，须先核具体改造法律性质及可实施性；普通家用梯不是已批准的疏散替代；原梯承重与施工临时交通未知。,建筑消防+结构负责人,所在地合法路径有据、无禁止行为且所需手续成立；书面可实施方案、适用手续、临时交通及分步拆除安排。 若不允许，改方案而非补签同意。,,
HP02,新井开口与旧洞补板,杭州暂定所在地住宅主体/承重改动存在法定禁止，须先核具体改造法律性质及可实施性；每层梁板/支承/基础未知；现模型板厚是展示值。,结构设计负责人,所在地合法路径有据、无禁止行为且所需手续成立；调查检测、计算与盖章/正式签发专项、监测和验收要求。 若不允许，改方案而非补签同意。,,
HP03,电梯采购锁单,机型、载重、净尺寸、底坑与顶层余量未定。,厂家+建筑结构,正式土建图与接口签认、分类和相应验收路径确认。,,
HP04,湿区或洗衣新接水,原非湿区改用、荷载、防水与排水条件尚未确认。,建筑+给排水+防水,合法可实施的湿区方案及完整节点、接口、试验要求。,,
HP05,窗户更换/开洞/外立面,38处洞口中尚有32处竖向待核；其中旧展示表26处、按编号解释名义参数6处。原图存在真假窗批注，外立面手续未知。,建筑门窗+所在地相关主体,完整38处洞口定位表、逐窗复测/立面对照和必要手续。,,
HP06,花箱堆土或固定,饱和荷载、集中支点、风和防水保护未定。,结构+园林+防水,每箱最大荷载/支点表、布置批准、节点与保护措施。,,
HP07,防水层覆盖,节点和功能试验未通过前覆盖会失去检查条件。,防水+项目经理,检验记录、修复复验、照片和覆盖许可。,,
HP08,墙顶封板,水电/暖通/消防接口及测试未完成。,机电+总包,隐蔽图、测试合格记录、检修口及点位会签。,,
HP09,雨水/污水/燃气接驳,实际接口去向、容量和管理权不明确。,相应专业/服务方,接口查明、接驳方案及适用手续。,,
HP10,定制柜生产,模型外形不等于现场下单净尺。,柜厂+室内设计+业主,完成面后复尺、展开图、设备接口和样板签认。,,
HP11,院落或下沉庭院施工,图纸边界和标注已补核；实际产权、高差构造、地下空间、防水与支承仍待现场确认。,业主+建筑园林,确权范围、逐点复测高差、荷载/防水/排水节点、必要手续；下沉庭院上空持续留空。,,
HP12,允许入住/正常使用电梯,安全疏散、设备调试及必要验收未闭合。,业主及各责任专业,联合验收、适用设备文件、救援保养和使用限制移交。,,
