编号,层,名称,方案数量,尺寸米,位置米,说明
G3-P01,3,轻型花箱 / 季相花卉,1,"[0.88, 0.44, 0.37]","[4.42, 4.31]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G3-P02,3,轻型花箱 / 季相花卉,1,"[0.88, 0.44, 0.37]","[5.61, 4.31]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G3-P03,3,轻型香草花箱,1,"[0.95, 0.44, 0.37]","[6.96, 4.31]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G3-P04,3,轻型花箱 / 季相花卉,1,"[0.72, 0.4, 0.47]","[7.38, 6.61]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G3-B01,3,移动花园坐凳,1,"[0.45, 1.45, 0.47]","[7.2, 5.55]",与护栏安全关系及儿童攀爬风险需现场审查
G3-T01,3,露台小圆几,1,"[0.58, 0.58, 0.49]","[6.48, 5.48]",移动成品；在露台地坪上实际台面高度由成品确认
G3-W01,3,换盆台,1,"[0.8, 0.46, 0.85]","[6.38, 6.78]",移动成品；不锚入防水层
G1-P01,1,轻型花箱 / 季相花卉,1,"[1.3, 0.62, 0.44]","[1.05, -2.55]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-P02,1,轻型花箱 / 季相花卉,1,"[1.3, 0.62, 0.44]","[2.9, -2.55]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-P03,1,轻型香草花箱,1,"[1.2, 0.62, 0.44]","[4.62, -2.55]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-P04,1,轻型香草花箱,1,"[0.68, 1.0, 0.44]","[0.81, -0.97]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-P05,1,轻型花箱 / 季相花卉,1,"[0.65, 1.25, 0.44]","[8.64, -1.95]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-P06,1,轻型花箱 / 季相花卉,1,"[0.65, 1.2, 0.44]","[8.65, 0.08]",植物种类按当地气候与实际日照选定；饱水重量及摆位须结构复核
G1-T01,1,户外茶桌,1,"[1.45, 0.78, 0.34]","[3.3, -0.9]",可移动家具
G1-C01,1,户外休闲椅,4,待选型,见平面,可移动家具
G1-R01,1,模块式通行坡道,1,"[1.4, 4.2, 0.35]","[6.6, 0.06]",高差350mm；坡道面宽1400mm；扶手占宽及平台/排水另需深化，不是已审定无障碍工程
