编号,类别,房间,项目,型号货号,数量,单位,预算单价元,初期计入,行金额元,价格类型,核对日期,来源,供货界面,尺寸安装条件,备注
AP-A01,生活家电,R106 厨房,400L窄体冰箱,海尔 BCD-400WLHD3B9YAU1 云溪米,1,台,5999,True,5999,官网参考价；非已核实到手报价,2026-09-10,https://www.haier.com/cooling/20260428_289874.shtml,单台设备参考价；另计：配送上楼、安装附材和旧机处置是否包含未确认；不含橱柜,现模型冰箱占位660×730×2040毫米，机体外廓小于占位；不等于已核定安装净空。抽屉拉出、门铰链开启角、插头和背部散热必须按本机安装图复核。；220V/50Hz接地插座，避免与会断电的普通照明回路混接；确认厨房门、电梯轿厢和搬运转角；制造商通风要求优先；400L按当前4人日常采购安排；未来6人长期囤货需求可另评估，主方案不叠加第二冰箱,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A02,生活家电,R106 厨房,吸油烟机,海尔 CXW-358-E900T81UD,1,台,2999,True,2999,官网参考价,2026-09-10,https://www.haier.com/kitchen_appliances/xyyj/20260311_287621.shtml,烟机设备参考价；另计：烟管加长、止逆阀、墙孔、吊柜改造及特殊安装未确认,需将895毫米烟机外宽和安装高度落入橱柜立面；当前图示不代表吊柜已开好孔。；预留电源、可拆烟管及止逆阀检修；复核烟道接口、管径/路径和公共烟道阻力；28m³/min等标称值不能替代系统校核；厂家安装图确认灶面至烟机的高度及检修空间,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A03,生活家电,R106 厨房,双眼燃气灶,海尔 JZT-Q2BE6(12T),1,台,999,True,999,官网参考价；天然气版本,2026-09-10,https://www.haier.com/kitchen_appliances/rqz/20240328_236731.shtml,灶具设备参考价；另计：燃气开户/改管、连接管与阀件及安装以书面报价为准,必须拿本机开孔模板校对台面，650×350毫米不能按模型中灶具外轮廓施工；玻璃台面边距和圆角按模板。；确认实际气源为12T天然气；页面额定燃气压力2000Pa；持证燃气安装，气密试验；橱柜进风、阀门、报警切断按当地气源方案；尚无气源确认，不能购买液化气版顶替,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A04,生活家电,R106 厨房,15套洗碗机,米家智能独嵌两用洗碗机15套 S1,1,台,3499,True,3499,预算预留；本次未取得可核实中国现价,2026-09-10,https://cdn.cnbj1.fds.api.mi-img.com/ics-resources/articles/62afd589a1a516d35d85481d.html,设备预算；官方说明列标准首装及部分标准附件；另计：柜格调整、开孔、超长水管/电线、特殊安装和当地最终服务项目需另询价,现模型仅有520毫米宽洗碗机示意面板，不是600毫米净柜格；本型号须在原厨房边界内调整柜格后采购。需厂家复核软管占位和门完全放平后的前方空间。；官网安装说明要求右侧排气口不遮挡，背下部按图留100×80毫米管线孔；邻柜可检修接地10A插座，进水三通和带洗碗机接口存水弯；插座不藏在不可拔插的机背；厂家说明分有/无顶板安装条件；现场完成面净高和柜脚一起复核；橱柜深化未通过前不得按600毫米外廓硬挤安装,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A05,生活家电,R206 二层休闲/家政区,洗衣机+热泵烘干机,海尔 G10090BD12S + GA120-58E1U1,1,组,7198,True,7198,两台官网参考价相加：2899+4299,2026-09-10,https://www.haier.com/laundry/20240604_238924.shtml,洗衣机2899、烘干机4299设备参考价；另计：叠放架、排水改造、防水、专用插座和附加安装未计入设备价；组成：G10090BD12S ×1；GA120-58E1U1 ×1,现方案洗衣位涉及原非湿区/楼梯区域，启用要先完成建筑方案及给排水、防水审批和深化。两台同宽不代表可以直接叠放。；取得海尔针对这两个准确型号的叠放兼容与专用连接件确认；否则并排布置并重核柜位；冷热环境、维护通风、进水龙头、存水弯/排水和漏水报警共同深化；两台分别设置合规接地电源，核对同时运行负荷；烘干机选集水盒或厂家允许的排水方式；地面找平承载/振动、吊柜检修和搬运净空必须复核,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A06,生活家电,R104 客厅,客厅75英寸电视,海尔 75D50,1,台,4000,True,4000,设备预算3500+壁挂架/标准安装预留500；未核实当前售价,2026-09-10,https://www.haier.com/televisions/20240308_236087.shtml,单台设备与普通壁挂安装预算；另计：特殊墙体加固、饰面修复、音响与机顶盒；设备价不是官方报价,模型屏幕1720毫米宽、电视柜2300毫米宽；本机宽1667毫米小于两者，但固定位置、墙体锚固和观看距离仍待复尺。2024年产品页仍可查，在售库存待核，不标为2026新款。；确认墙体类型、支架孔距和承重；预埋电源/网线及可更换HDMI管；不为电视移动原有门窗；现场坐姿确定屏幕中心；若用脚架放在400毫米深电视柜上，330毫米脚架深度仍需留前后安全余量,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A07,卫浴洁具,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,五套普通节水坐便器，父母/主卫与其他房间分档,九牧11396KD ×2（父母/主卫）；11370KE ×3（公卫/儿童/妹妹），305/400坑距逐间实测选版,1,组,5600,True,5600,整组预算：2×1300+3×1000；不是九牧现价，未使用过期618价、国补或满件折扣,2026-09-10,https://www.ejomoo.com.cn/item/11396.htm,五套普通坐便器、普通缓降座圈、常规密封安装附件的预算；地方安装若不含须从预算明确分摊；另计：智能盖板、坑距移位、结构开孔和防水返工；未取得可直接下单的本地套餐报价；组成：九牧11396KD ×2；九牧11370KE ×3,保留5个原卫浴内的坐便功能；候选国产普通马桶无电控。完整外廓尚未取得厂家尺寸图，现模型不得据此缩减净空。父母/主卫先试坐确认座圈尺寸和起坐高度。；每间按完成墙面量坑距、排污中心、前方及侧方净空，再确定305或400版本；官网11396有KC、KD和含/不含安装版本，主选明确11396KD；11370主选11370KE，不接受泛写11370系列；商家须提供缓降座圈、水件、密封件及安装的完整包含清单；网页显示库存0且未选地址，须确认杭州供货；不为适配马桶迁移原排污立管或破坏已验收防水；智能盖仅预留合规电源不计入本期,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A08,卫浴洁具,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,五间卫浴台盆柜组合,宜家 ENHET/TVÄLLEN 396.159.36 ×4 + 996.160.42 ×1,1,组,6400,True,6400,官网显示组合价5400；另预留1000元把手、支腿/墙固和附件,2026-09-10,https://www.ikea.cn/cn/zh/p/enhet-an-na-te-tvaellen-te-wei-lun-xi-lian-chi-jia-dai-men-xi-lian-chi-bai-se-s39615936/,4×1100+1×1000的柜体、陶瓷盆和配套下水管；额外附件预算1000；另计：龙头另列A09，镜柜另列A10；重做墙体和防水不在商品价内；组成：396.159.36 ×4；996.160.42 ×1；把手/支腿/墙固附件待随柜选择 ×1,主卫、父母、儿童、妹妹各64厘米；公卫44厘米。小于模型约650–690毫米主盆柜和600毫米公卫柜外宽，但安装完成高度、门/抽屉、窗洞和墙体承重仍需复尺。；柜体为木质板材，置于有效干湿分区一侧，不受淋浴直冲；不能称为全防水柜；配套RÄNNILEN下水管，复核墙/地排位置及抽屉避管空间；墙挂需合适基层与锚固；必要时用配套支腿且仍按说明固定到墙；650毫米是组合自身高度，不是完成面离地台盆高度,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A09,卫浴洁具,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,五只国产面盆龙头,九牧32846 亮银1B,5,只,350,True,1750,每只预算350元；官网商品页曾显示338元，未选地区/库存0，不能标为已核实可成交现价,2026-09-10,https://www.ejomoo.com/item/32846.htm,5只龙头设备预算；标准连接件是否随箱须书面确认；另计：角阀、安装人工和加长软管按合同另核,继续搭配原候选TVÄLLEN陶瓷盆，但单孔直径、龙头高度和水流落点尚待厂家图与样品复核。；确认单孔台盆安装孔径、台面厚度和出水嘴投影，防止水流冲盆沿；冷热水角阀保留检修，按确切型号核对连接软管规格及是否随箱；选亮银1B，避免把不同颜色或活动起价当同一SKU；不要使用已失效的首页239元秒杀链接,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A10,卫浴洁具,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,卫浴镜柜,宜家 ENHET 安纳特 893.965.78 煤黑,5,只,399,True,1995,中国官方商城显示价,2026-09-10,https://www.ikea.cn/cn/zh/p/enhet-an-na-te-jing-gui-mei-hei-se-s89396578/,5个镜柜显示价；另计：螺栓适配墙体、安装人工和镜前灯,需复核每间墙面。尤其公卫镜柜600毫米宽会宽于440毫米台盆，必须校核北窗、开门和门扇；不足则改窄镜，按替换差额调预算。不是已确认五处可装。；牢固墙挂并检查瓷砖后基层；镜柜前开门不能碰窗、龙头或人脸活动区；镜前补光应在照明深化中配适湿区产品，本镜柜无内置灯,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
