编号,类别,房间,项目,型号货号,数量,单位,预算单价元,初期计入,行金额元,价格类型,核对日期,来源,供货界面,尺寸安装条件,备注
FN-F01,成品家具,R101 父母卧室,TARVA 塔瓦 床架 / LURÖY 鲁瑞 150,IKEA 宜家 TARVA / 091.985.15,1,件,1299,True,1299,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/tarva-ta-wa-chuang-jia-song-mu-lu-rui-s09198515/,150×200床架、鲁瑞床板架、SKORVA床中挺；独立包装；另计：床垫、床品、木材涂装、配送上楼及组装另计,160×209×92 cm；按套装页较大外宽160控制；单床架303.544.67页标158，厂家需书面统一。模型床框160×215，长减6；床垫150×200另列。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F02,成品家具,R201 主卧,TARVA 塔瓦 床架 / LURÖY 鲁瑞 180,IKEA 宜家 TARVA / 891.985.78,1,件,1499,True,1499,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/tarva-ta-wa-chuang-jia-song-mu-lu-rui-89198578/,180×200床架、鲁瑞床板架及SKORVA床中挺；另计：床垫、床品、木材涂装、配送上楼及组装另计,188×209×92 cm；模型床框190×215；成品宽减2、长减6。床垫180×200单列。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F03,成品家具,R301 妹妹卧室,TARVA 塔瓦 床架 / LURÖY 鲁瑞 120,IKEA 宜家 TARVA / 191.984.78,1,件,999,True,999,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/tarva-ta-wa-chuang-jia-song-mu-lu-rui-19198478/,120×200床架及鲁瑞床板架；另计：床垫、床品、木材涂装、配送上楼及组装另计,128×209×92 cm；妹妹模型床框145×215；成品128×209可减占地，床垫由意向135改120。若坚持135，另做总外宽不大于145的定制床并重新复核；不能直接替换150床。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F05,成品家具,R101 父母卧室,VALEVÅG 瓦勒沃格 袋装弹簧床垫 150,IKEA 宜家 VALEVÅG / 304.506.71,1,件,1799,True,1799,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/valevag-wa-le-wo-ge-dai-zhuang-dan-huang-chuang-dian-ying-xing-qian-lan-se-30450671/,单张床垫；另计：床架、床板、床褥、保护垫、床品及配送另计,150×200×24 cm；匹配F01的床垫尺寸；硬度为商品标签，父母须共同试躺，不按年龄推断必须睡最硬。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F06,成品家具,R201 主卧,VALEVÅG 瓦勒沃格 袋装弹簧床垫 180,IKEA 宜家 VALEVÅG / 804.700.06,1,件,2299,True,2299,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/valevag-wa-le-wo-ge-dai-zhuang-dan-huang-chuang-dian-jia-ying-qian-lan-se-80470006/,单张床垫；另计：床架、床板、床褥、保护垫、床品及配送另计,180×200×24 cm；匹配F02；夫妻应共同试躺确认硬度、翻身干扰及床沿坐感。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F07,成品家具,R301 妹妹卧室,VALEVÅG 瓦勒沃格 袋装弹簧床垫 120,IKEA 宜家 VALEVÅG / 004.699.07,1,件,1499,True,1499,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/valevag-wa-le-wo-ge-dai-zhuang-dan-huang-chuang-dian-jia-ying-qian-lan-se-00469907/,单张床垫；另计：床架、床板、床褥、保护垫、床品及配送另计,120×200×24 cm；匹配F03，不能将120床垫作为135床垫采购；试躺后可同尺寸换硬度货号。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F09,成品家具,R101 父母卧室×2、R201 主卧×2、R301 妹妹卧室,TONSTAD 图恩斯塔 床头桌,IKEA 宜家 TONSTAD / 605.100.08,5,件,599,True,2995,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/tonstad-tu-en-si-ta-chuang-tou-zhuo-hui-bai-60510008/,床头桌及抽屉；另计：配送、上楼、组装和额外墙体固定件另核,40×40×59 cm；父母模型48×48，夫妻/妹妹需按床位现场纸样；59高需与最终床面高度试取物，插座不能被柜挡。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F10,成品家具,R104 客厅,VIMLE 维姆勒 三人沙发,IKEA 宜家 VIMLE / 393.990.32,1,件,2999,True,2999,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/vimle-wei-mu-le-san-ren-sha-fa-gang-na-rui-de-mi-huang-se-s39399032/,三人框架、两扶手、相应米色可拆洗罩套及坐靠垫；非仅罩套；另计：头枕、脚凳、装饰靠枕、配送组装另计,241×98×83 cm；模型265×约92；成品较短24、深增加约6。维持朝东并复核沙发前通道；须以整体98深纸样复核，当前漫游并未替换为该SKU。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F11,成品家具,R104 客厅,LISABO 利萨伯 茶几,IKEA 宜家 LISABO / 103.530.63,1,件,799,True,799,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/lisabo-li-sa-bo-cha-ji-bai-zha-mu-tie-mian-10353063/,茶几；另计：配送、上楼、组装和额外墙体固定件另核,118×50×50 cm；模型约120×70，平面占地减小；台高由展示意向约39升至50，配48高沙发座，宜现场试坐取物。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F12,成品家具,R104 客厅,BRIMNES 百灵 电视柜,IKEA 宜家 BRIMNES / 504.098.93,1,件,799,True,799,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/brimnes-bai-ling-dian-shi-gui-bai-se-50409893/,电视柜及抽屉；另计：电视、支架、设备、墙体固定件及配送组装另计,180×41×53 cm；模型230×40×48；长缩50、深增1、高增5。沿东墙保留原室外门；电视型号/脚座跨度和重量另核；网页柜顶承重30kg。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
