编号,类别,房间,项目,型号货号,数量,单位,预算单价元,初期计入,行金额元,价格类型,核对日期,来源,供货界面,尺寸安装条件,备注
P01,前期与验收,全屋,现场复测与尺寸底图,按复测深化清单报价,1,项,5000,True,5000,预算估算，非施工队报价,2026-09-10,,三层、南院、露台及门窗高差复测；不含破损检测,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
P02,前期与验收,全屋,建筑与机电施工图深化,按复测深化清单报价,1,项,20000,True,20000,预算估算，非施工队报价,2026-09-10,,平面、天花、立面节点、机电协调；价格待设计委托,不包含行政许可承诺,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
P03,前期与验收,全屋,现状结构与改造可行性调查,按复测深化清单报价,1,项,8000,True,8000,预算估算，非施工队报价,2026-09-10,,资料调查、现场初查及专业可行性意见暂列,检测开凿、加固设计另询；调查不保证撤梯或开井获准,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
P04,前期与验收,全屋,分阶段独立验收与移交,按复测深化清单报价,1,项,6000,True,6000,预算估算，非施工队报价,2026-09-10,,水电、防水、泥木、竣工节点检查及记录；具体次数约定,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H01,室内硬装,全屋,保护、场地管理与垃圾清运,按复测深化清单报价,1,项,8000,True,8000,预算估算，非施工队报价,2026-09-10,,毛坯交付成品与公共区保护、装袋、合规清运及楼层搬运；无旧装修拆除,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H03,室内硬装,全屋,电气配线、管路与配电整理,按复测深化清单报价,216.9,㎡,135,True,29281.5,预算估算，非施工队报价,2026-09-10,,室内基础布线、管材、施工、配电箱/保护器暂列；末端灯具面板另项；包含三层基本网线与有线回程预埋管线，路由交换设备另列,不是62个展示点位的固定点工单价；线路长度与回路待设计,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H04,室内硬装,全屋,五卫一厨给排水改造,按复测深化清单报价,6,区域,2900,True,17400,预算估算，非施工队报价,2026-09-10,,各原湿区内给排水、阀件及安装，不含洁具与设备,排污立管变动、燃气工程和非湿区改水另核,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H05,室内硬装,全屋,基层找平与局部修补,按复测深化清单报价,216.9,㎡,48,True,10411.2,预算估算，非施工队报价,2026-09-10,,一般地面找平材料与人工；不含重载回填及结构层,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H06,室内硬装,全屋,干区木色地板,按复测深化清单报价,186.9,㎡,230,True,42987.0,预算估算，非施工队报价,2026-09-10,,耐磨多层实木复合/同级样板；面层、垫层与安装，踢脚另项,按净铺面预算，损耗与包装整件另在复尺排版报价,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H07,室内硬装,全屋,厨房卫浴防滑地砖,按复测深化清单报价,29.9,㎡,250,True,7475.0,预算估算，非施工队报价,2026-09-10,,600模数浅灰或暖灰瓷砖、铺贴辅料与人工,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H08,室内硬装,全屋,厨卫墙砖,按复测深化清单报价,125,㎡,210,True,26250,预算估算，非施工队报价,2026-09-10,,按约125㎡预算，面砖、粘结辅料与铺贴；开口和铺贴高度实量,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H09,室内硬装,全屋,厨卫防水与节点,按复测深化清单报价,150,㎡,75,True,11250,预算估算，非施工队报价,2026-09-10,,墙地展开量暂估，基层节点、防水体系、试验记录；以深化系统报价,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H10,室内硬装,全屋,墙面基层与暖白乳胶漆,按复测深化清单报价,430,㎡,56,True,24080,预算估算，非施工队报价,2026-09-10,,毛坯墙面腻子找平、底漆及暖白面漆工料；不含旧涂层铲除,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H11,室内硬装,全屋,顶面基层与哑光涂饰,按复测深化清单报价,186.9,㎡,45,True,8410.5,预算估算，非施工队报价,2026-09-10,,干区顶面处理与涂饰，包含局部新吊顶表面；不含吊顶龙骨板材,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H12,室内硬装,全屋,局部石膏板吊顶,按复测深化清单报价,15,㎡,185,True,2775,预算估算，非施工队报价,2026-09-10,,仅必要局部管线/窗帘节点的龙骨板材与检修口；采用分体空调，不做全屋造型吊顶,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H13,室内硬装,全屋,厨卫易检修吊顶,按复测深化清单报价,29.9,㎡,185,True,5531.5,预算估算，非施工队报价,2026-09-10,,平整耐潮面层、龙骨与安装；浴霸/排风机另项,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H14,室内硬装,全屋,新增轻隔断及隐私屏基层,按复测深化清单报价,20,㎡,260,True,5200,预算估算，非施工队报价,2026-09-10,,新增非承重干式轻隔断预算量；涂饰已在墙面项，玻璃另项,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H15,室内硬装,全屋,厨房与操盘区玻璃隔断,按复测深化清单报价,9,㎡,750,True,6750,预算估算，非施工队报价,2026-09-10,,窄边安全玻璃系统、门五金和安装暂列,原梯改造相关隔断在可实施方案确定后下单,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H16,室内硬装,全屋,室内门与五金,按复测深化清单报价,9,套,1800,True,16200,预算估算，非施工队报价,2026-09-10,,四卧五卫各一套普通门预算，门套门锁安装包含；开发商已有合格门逐间核减。玻璃隔断门另在H15，不叠加。,门型数量与原门保留状态未定，不能从38洞口推采购量,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H17,室内硬装,全屋,木色踢脚与收口,按复测深化清单报价,150,m,38,True,5700,预算估算，非施工队报价,2026-09-10,,踢脚、压条、门口与异材收边；复尺计净长度,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H19,室内硬装,全屋,窗帘、纱帘及普通轨道,按复测深化清单报价,1,项,8500,True,8500,预算估算，非施工队报价,2026-09-10,,纯色成品面料、卧室遮光与普通帘轨；工作区用简单遮阳；不含电动或复杂帘头,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H20,室内硬装,全屋,开关插座与弱电面板,按复测深化清单报价,1,批,4500,True,4500,预算估算，非施工队报价,2026-09-10,,常规面板约70位的预算占位；最终按电气施工图统计,不是把现62点或15插座示意当作完整采购数量,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H21,室内硬装,全屋,末端灯具洁具安装与调试,按复测深化清单报价,1,项,5000,True,5000,预算估算，非施工队报价,2026-09-10,,未被商家服务覆盖的末端安装、测试及接口协调暂列；厂家已包含部分必须核减,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H22,室内硬装,全屋,完工精保洁与小修补,按复测深化清单报价,1,项,5000,True,5000,预算估算，非施工队报价,2026-09-10,,玻璃、柜内、地面、建材残留清理及修补，不替代环境检测,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H23,室内硬装,全屋,厨房地柜与设备柜,按复测深化清单报价,4.4,延米,1850,True,8140.0,预算估算，非施工队报价,2026-09-10,,浅米白平板柜门、耐潮柜体及基本铰链；按L形外边长度占位计价，转角不得重复收费,先按600mm洗碗机、595mm冰箱重排柜格，预留安装净孔与开门散热,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H24,室内硬装,全屋,厨房吊柜,按复测深化清单报价,2.2,延米,1150,True,2530.0,预算估算，非施工队报价,2026-09-10,,平板门柜与安装，不遮原北窗；挂墙基层承载和检修待核,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H25,室内硬装,全屋,厨房石英石台面与收口,按复测深化清单报价,4.4,延米,900,True,3960.0,预算估算，非施工队报价,2026-09-10,,同级耐污台面、开孔、挡水、转角和安装；实际厚度与支承按供应商深化,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H26,室内硬装,全屋,厨房抽屉、拉篮与非标板件,按复测深化清单报价,1,批,2800,True,2800,预算估算，非施工队报价,2026-09-10,,设备侧封板、基本抽屉理物五金及调试；水槽龙头和家电在设备表另计,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G01,花园工程,南院/露台,南院、主南廊、露台铺装,按复测深化清单报价,75.985,㎡,260,True,19756.1,预算估算，非施工队报价,2026-09-10,,防滑面砖或经确认轻质面层、辅料、人工；不挖填，不机械扣可移动花箱投影,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G02,花园工程,南院/露台,既有防水排水检查与局部保护修复,按复测深化清单报价,1,项,8000,True,8000,预算估算，非施工队报价,2026-09-10,,先验开发商防水、栏墙收口、排水口与坡向，保留合格既有层；计试验、局部节点及保护修复,原层不合格先确认开发商修复责任；大面积重做另据正式方案补价，不为省钱直接覆盖缺陷,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G03,花园工程,南院/露台,轻型模块坡道与两侧扶手,按复测深化清单报价,1,套,15000,True,15000,预算估算，非施工队报价,2026-09-10,,参考4.2×1.4m几何意向的可拆耐候模块、扶手预算,不是加工图；合法性、承托、防滑、平台及1.277m模型净距须专项深化,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G04,花园工程,南院/露台,南缘临空防护,按复测深化清单报价,9.36,m,620,True,5803.2,预算估算，非施工队报价,2026-09-10,,按模型边线暂列金属防护与安装；高度、缝隙、基层须正式设计,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G06,花园工程,南院/露台,轻型花箱与内胆,按复测深化清单报价,4,组,650,True,2600,预算估算，非施工队报价,2026-09-10,,首期南院2组、露台2组轻型箱、内胆与保护垫；其余6组延后添置,按P02各组规格询价；先核饱水荷载和抗风,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G07,花园工程,南院/露台,植物、基质与初期养护,按复测深化清单报价,1,批,2000,True,2000,预算估算，非施工队报价,2026-09-10,,首期4组花箱的常绿观叶、少量轮换花卉、轻质基质和初期养护,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G08,花园工程,南院/露台,花园手动灌溉与检修给水点,按复测深化清单报价,1,套,1500,True,1500,预算估算，非施工队报价,2026-09-10,,检修阀、合适软管与人工浇水接点；自动滴灌后添,工程量与做法待现场复测,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
G09,花园工程,南院/露台,室外基础电气配合,按复测深化清单报价,1,项,2500,True,2500,预算估算，非施工队报价,2026-09-10,,5个灯位的线管、室外保护与接线施工暂列；灯具另列，排水试验修复归G02,不向下沉井、邻地或未知地下管随意接排水,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
E01,电梯暂列,全屋,三层三站家用电梯系统,国产厂家三层三站方案，型号待合法性与井道条件确认,1,套,180000,True,180000,采购预算目标，未获厂家报价,2026-09-10,,暂用18万元作为同范围询价控制值，不代表某品牌能成交；设备、井道、运输、安装、税与保养范围须列全,需至少两家厂家出总行程、机身/孔口、门向、平台、反力和救援方案；现场报价可高于目标，土建仍未计,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
O01,可选升级,全屋,全屋地暖系统,按复测深化清单报价,1,项,45000,False,45000,预算估算，非施工队报价,2026-09-10,,仅预算预留，不和基础空调重复计为空调费用,热源、地坪高度、能耗与荷载先核,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
O02,可选升级,全屋,全屋新风系统,按复测深化清单报价,1,项,22000,False,22000,预算估算，非施工队报价,2026-09-10,,仅预算预留；管路、主机、风量与检修另设计,不将普通排风扇当全屋新风,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
O03,可选升级,全屋,全屋软水与前置净水,按复测深化清单报价,1,套,9000,False,9000,预算估算，非施工队报价,2026-09-10,,仅预算预留；市政水质、空间和排水确认后选型号,末端直饮设备如家电表已列，不重复计入,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H27,室内硬装,全屋,入户门锁芯与五金调试,按复测深化清单报价,1,项,1200,True,1200,预算估算，非施工队报价,2026-09-10,,保留开发商合格入户门；按门型做必要调试及锁芯更新,门体缺陷优先要求交付整改，不预设整门换新,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
O04,可选升级,全屋,后续追加轻型花箱,按复测深化清单报价,6,组,650,False,3900,预算估算，非施工队报价,2026-09-10,,P02其余6组花箱及内胆；不含另增植物养护,先核承载、防水和维护条件,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
O05,可选升级,全屋,后续自动滴灌系统,按复测深化清单报价,1,套,3000,False,3000,预算估算，非施工队报价,2026-09-10,,人工浇水不便时再增加阀控、过滤、防回流与可拆支管,与G08既有给水接口去重,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H28,室内硬装,全屋,淋浴侧屏及主卫干湿分隔,按复测深化清单报价,1,批,7000,True,7000,预算估算，非施工队报价,2026-09-10,,父母/儿童/妹妹三处侧屏各暂1600元，主卫分隔暂2200元；安全玻璃、五金与安装；不是四套封闭淋浴房,先核湿区净尺寸、开门与固定基层，按正式节点选玻璃规格,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H29,室内硬装,全屋,五卫地漏与常用小五金,按复测深化清单报价,5,区域,500,True,2500,预算估算，非施工队报价,2026-09-10,,排水配套地漏、纸架、挂件等基础供装暂列；不含AP表已有龙头和淋浴套组,实际排水点、地漏防臭型式与防水节点复核，数量按图报价,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H30,室内硬装,全屋,合法洗衣位置的配套接口,按复测深化清单报价,1,项,4500,True,4500,预算估算，非施工队报价,2026-09-10,,仅原合法可用湿区内给排水、电源、防水收口及安装配合暂列；与H03/H04重叠部分应核减,非湿区穿板或结构工程未包含；如原空间无法合法安置须重布置并重新询价,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
H31,室内硬装,全屋,燃气专业接入与管阀服务暂列,按复测深化清单报价,1,项,3000,True,3000,预算估算，非施工队报价,2026-09-10,,合资格燃气服务方核查灶具和热水器供气、阀管及常规接入；按官方渠道实际报价替换,气源、容量、管路和排烟须核；不含燃气入户扩容或公共管网改造,计价包含该行范围的材料、辅料与人工；不得与整装套餐叠加计入。
