编号,楼层,源洞口,源编号,A点X米,A点Y米,B点X米,B点Y米,平面洞宽mm,模型下口mm,模型洞高mm,竖向状态,核对ID,说明
O101,1,F1-entrance,未见编号,2.22,14.9,4.04,14.9,1820,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O102,1,F1-public-wc-north,HC1012a,0.43,14.9,1.48,14.9,1050,1200,1200,北立面已核（框口包络）,F1-public-wc-north,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O103,1,F1-kitchen-north,HC1212,5.4,14.9,6.6,14.9,1200,1200,1200,北立面已核（框口包络）,F1-kitchen-north,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O104,1,F1-south-west,MLC2228a,0.615,1.1,2.985,1.1,2370,0,2800,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O105,1,F1-south-living,MLC4528,4.29,4.1,8.91,4.1,4620,0,2800,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O106,1,F1-courtyard-west,LPC2619,7.8,9.34,7.8,12.06,2720,700,1900,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O107,1,F1-courtyard-south,LPC0619a,8.315,8.6,9.085,8.6,770,700,1900,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O108,1,F1-lightwell-south,LPC0720a,0.45,7.4,1.2,7.4,750,600,2000,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O109,1,F1-lightwell-east,LPC0720a,2.3,7.625,2.3,8.375,750,600,2000,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O110,1,F1-public-wc-door,M0821,1.8,12.9,1.8,13.7,800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O111,1,F1-south-wc-door,M0821,2.36,5.42,2.36,6.22,800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O112,1,F1-kitchen-south,未见编号,5.1,12.74,6.9,12.74,1800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O201,2,F2-south-west,LPC1921ab,0.775,1.1,2.825,1.1,2050,500,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O202,2,F2-south-main,LPC2826,4.4,4.1,7.24,4.1,2840,250,2600,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O203,2,F2-east-1,LPC0617a,7.8,4.6,7.8,5.35,750,900,1700,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O204,2,F2-east-2,LPC0617a,7.8,7.35,7.8,8.1,750,900,1700,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O205,2,F2-east-3,LPC0617a,7.8,9.51,7.8,10.26,750,900,1700,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O206,2,F2-east-4,LPC0617a,7.8,11.81,7.8,12.56,750,900,1700,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O207,2,F2-north-main-bath,LPC2622,4.38,13.7,7.02,13.7,2640,400,2200,北立面已核（框口包络）,F2-north-main-bath,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O208,2,F2-north-stair-1,LPC0617a,0.5,12.8,1.25,12.8,750,900,1700,北立面已核（框口包络）,F2-north-stair-1,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O209,2,F2-north-stair-2,LPC0617a,2.39,12.8,3.16,12.8,770,900,1700,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O210,2,F2-lightwell-south,LPC0718a,0.45,7.4,1.2,7.4,750,800,1800,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O211,2,F2-lightwell-east,LPC0718a,2.3,7.625,2.3,8.375,750,800,1800,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O212,2,F2-south-wc-door,M0821,2.36,5.42,2.36,6.22,800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O213,2,F2-main-bath-door,M0821,5.2,11.24,6.0,11.24,800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O214,2,F2-dressing-west,未见编号,4.2,9.58,4.2,11.08,1500,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O301,3,卧室南窗,LPC2615,0.48,1.1,3.12,1.1,2640,1100,1500,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O302,3,卧室东小窗,SC0909,3.6,1.77,3.6,2.77,1000,1700,900,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O303,3,卧室东大窗,LPC2123,3.6,4.58,3.6,6.72,2140,300,2300,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O304,3,走廊东窗,LPC0723,3.6,7.33,3.6,7.993,663,300,2300,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O305,3,书房至露台双门,MLC1423,4.48,8.6,5.92,8.6,1440,0,2300,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O306,3,书房东长窗,LPC3213ab,6.6,9.055,6.6,12.345,3290,1300,1300,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O307,3,书房北西窗,LPC1915a,0.805,12.8,2.795,12.8,1990,900,1500,北立面已核（框口包络）,F3-north-west,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O308,3,书房北东窗,LPC1313b,5.03,12.8,6.37,12.8,1340,1100,1300,北立面已核（框口包络）,F3-north-east,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O309,3,卫生间采光井窗,LPC0716a,0.44,7.4,1.21,7.4,770,1000,1600,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O310,3,走廊采光井窗,LPC0716a,2.3,7.625,2.3,8.375,750,1000,1600,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
O311,3,卫生间门,M0821,2.36,5.42,2.36,6.22,800,0,2100,展示/编号推定，待核,,宽度为原图墙皮洞口定位，非成窗采购净尺寸；高度仅在已核6项具有对应立面依据
