编号,项目,当前数量,单位,业主预算单价,本期计入,现场实测量,施工方含税单价,人工,主材品牌型号,辅材品牌型号,损耗计法,安装运输,税管理费是否已含,报价有效期,工期及交期,排除范围,说明
P01,现场复测与尺寸底图,1,项,5000,1,,,,,,,,,,,,
P02,建筑与机电施工图深化,1,项,20000,1,,,,,,,,,,,,
P03,现状结构与改造可行性调查,1,项,8000,1,,,,,,,,,,,,
P04,分阶段独立验收与移交,1,项,6000,1,,,,,,,,,,,,
H01,保护、场地管理与垃圾清运,1,项,8000,1,,,,,,,,,,,,
H03,电气配线、管路与配电整理,216.9,㎡,135,1,,,,,,,,,,,,
H04,五卫一厨给排水改造,6,区域,2900,1,,,,,,,,,,,,
H05,基层找平与局部修补,216.9,㎡,48,1,,,,,,,,,,,,
H06,干区木色地板,186.9,㎡,230,1,,,,,,,,,,,,
H07,厨房卫浴防滑地砖,29.9,㎡,250,1,,,,,,,,,,,,
H08,厨卫墙砖,125,㎡,210,1,,,,,,,,,,,,
H09,厨卫防水与节点,150,㎡,75,1,,,,,,,,,,,,
H10,墙面基层与暖白乳胶漆,430,㎡,56,1,,,,,,,,,,,,
H11,顶面基层与哑光涂饰,186.9,㎡,45,1,,,,,,,,,,,,
H12,局部石膏板吊顶,15,㎡,185,1,,,,,,,,,,,,
H13,厨卫易检修吊顶,29.9,㎡,185,1,,,,,,,,,,,,
H14,新增轻隔断及隐私屏基层,20,㎡,260,1,,,,,,,,,,,,
H15,厨房与操盘区玻璃隔断,9,㎡,750,1,,,,,,,,,,,,
H16,室内门与五金,9,套,1800,1,,,,,,,,,,,,
H17,木色踢脚与收口,150,m,38,1,,,,,,,,,,,,
H19,窗帘、纱帘及普通轨道,1,项,8500,1,,,,,,,,,,,,
H20,开关插座与弱电面板,1,批,4500,1,,,,,,,,,,,,
H21,末端灯具洁具安装与调试,1,项,5000,1,,,,,,,,,,,,
H22,完工精保洁与小修补,1,项,5000,1,,,,,,,,,,,,
H23,厨房地柜与设备柜,4.4,延米,1850,1,,,,,,,,,,,,
H24,厨房吊柜,2.2,延米,1150,1,,,,,,,,,,,,
H25,厨房石英石台面与收口,4.4,延米,900,1,,,,,,,,,,,,
H26,厨房抽屉、拉篮与非标板件,1,批,2800,1,,,,,,,,,,,,
G01,南院、主南廊、露台铺装,75.985,㎡,260,1,,,,,,,,,,,,
G02,既有防水排水检查与局部保护修复,1,项,8000,1,,,,,,,,,,,,
G03,轻型模块坡道与两侧扶手,1,套,15000,1,,,,,,,,,,,,
G04,南缘临空防护,9.36,m,620,1,,,,,,,,,,,,
G06,轻型花箱与内胆,4,组,650,1,,,,,,,,,,,,
G07,植物、基质与初期养护,1,批,2000,1,,,,,,,,,,,,
G08,花园手动灌溉与检修给水点,1,套,1500,1,,,,,,,,,,,,
G09,室外基础电气配合,1,项,2500,1,,,,,,,,,,,,
E01,三层三站家用电梯系统,1,套,180000,1,,,,,,,,,,,,
O01,全屋地暖系统,1,项,45000,0,,,,,,,,,,,,
O02,全屋新风系统,1,项,22000,0,,,,,,,,,,,,
O03,全屋软水与前置净水,1,套,9000,0,,,,,,,,,,,,
H27,入户门锁芯与五金调试,1,项,1200,1,,,,,,,,,,,,
O04,后续追加轻型花箱,6,组,650,0,,,,,,,,,,,,
O05,后续自动滴灌系统,1,套,3000,0,,,,,,,,,,,,
H28,淋浴侧屏及主卫干湿分隔,1,批,7000,1,,,,,,,,,,,,
H29,五卫地漏与常用小五金,5,区域,500,1,,,,,,,,,,,,
H30,合法洗衣位置的配套接口,1,项,4500,1,,,,,,,,,,,,
H31,燃气专业接入与管阀服务暂列,1,项,3000,1,,,,,,,,,,,,
FN-F01,TARVA 塔瓦 床架 / LURÖY 鲁瑞 150,1,件,1299,1,,,,,,,,,,,,
FN-F02,TARVA 塔瓦 床架 / LURÖY 鲁瑞 180,1,件,1499,1,,,,,,,,,,,,
FN-F03,TARVA 塔瓦 床架 / LURÖY 鲁瑞 120,1,件,999,1,,,,,,,,,,,,
FN-F05,VALEVÅG 瓦勒沃格 袋装弹簧床垫 150,1,件,1799,1,,,,,,,,,,,,
FN-F06,VALEVÅG 瓦勒沃格 袋装弹簧床垫 180,1,件,2299,1,,,,,,,,,,,,
FN-F07,VALEVÅG 瓦勒沃格 袋装弹簧床垫 120,1,件,1499,1,,,,,,,,,,,,
FN-F09,TONSTAD 图恩斯塔 床头桌,5,件,599,1,,,,,,,,,,,,
FN-F10,VIMLE 维姆勒 三人沙发,1,件,2999,1,,,,,,,,,,,,
FN-F11,LISABO 利萨伯 茶几,1,件,799,1,,,,,,,,,,,,
FN-F12,BRIMNES 百灵 电视柜,1,件,799,1,,,,,,,,,,,,
FN-F13,EKEDALEN 伊克多兰 伸缩型餐桌,1,件,1999,1,,,,,,,,,,,,
FN-F14,EKEDALEN 伊克多兰 软垫椅,7,件,499,1,,,,,,,,,,,,
FN-F15,MARKUS 马库斯 人体工学办公椅 小号,3,件,799,1,,,,,,,,,,,,
FN-F17,MICKE 米克 书桌 105,1,件,699,1,,,,,,,,,,,,
FN-F18,BILLY 毕利 矮书架,5,件,199,1,,,,,,,,,,,,
FN-F19,BILLY 毕利 / OXBERG 奥克伯 带门书柜,3,件,449,1,,,,,,,,,,,,
FN-F20,SAMLA 萨姆拉 附盖储物盒 5L,12,件,9.99,1,,,,,,,,,,,,
FN-F21,POÄNG 波昂 单人扶手椅,2,件,499,1,,,,,,,,,,,,
FN-F26,NÄMMARÖ 耐玛瑞 户外长椅,1,件,499,1,,,,,,,,,,,,
FN-F04-D,NESTTUN 奈斯顿 床架 / LURÖY 鲁瑞 90（延后）,1,件,699,0,,,,,,,,,,,,
FN-F08-D,VALEVÅG 瓦勒沃格 袋装弹簧床垫 90（延后）,1,件,1299,0,,,,,,,,,,,,
FN-F15-D,MARKUS 马库斯 人体工学办公椅 小号（延后）,1,件,799,0,,,,,,,,,,,,
FN-F16-D,MICKE 米克 书桌 73（延后）,1,件,399,0,,,,,,,,,,,,
FN-F20-D,SAMLA 萨姆拉 附盖储物盒 5L（延后）,6,件,9.99,0,,,,,,,,,,,,
FN-F22-D,GLADOM 格拉登 托盘边桌（延后）,2,件,79.99,0,,,,,,,,,,,,
FN-F23-D,NÄMMARÖ 耐玛瑞 户外桌（延后）,1,件,999,0,,,,,,,,,,,,
FN-F24-D,NÄMMARÖ 耐玛瑞 户外折叠椅（延后）,4,件,299,0,,,,,,,,,,,,
FN-F25-D,KUDDARNA 库达那 户外椅垫（延后）,4,件,29.99,0,,,,,,,,,,,,
FN-C01,爸爸操盘桌,1,件,2500,1,,,,,,,,,,,,
FN-C02,妈妈编织工作台,1,件,2200,1,,,,,,,,,,,,
FN-C03,书法长案,1,件,4200,1,,,,,,,,,,,,
FN-C04,父母衣柜,1,件,4000,1,,,,,,,,,,,,
FN-C05,夫妻衣柜,1,件,6500,1,,,,,,,,,,,,
FN-C06,妹妹衣柜,1,件,3200,1,,,,,,,,,,,,
FN-C07,儿童预留柜（延后）,1,件,2200,0,,,,,,,,,,,,
FN-C08,宣纸与作品收纳柜,1,件,2400,1,,,,,,,,,,,,
FN-C09,书法北窗矮柜,1,件,2000,1,,,,,,,,,,,,
FN-C10,玄关窄鞋柜,1,件,900,1,,,,,,,,,,,,
FN-C11,露台轻型换盆台,1,件,1200,1,,,,,,,,,,,,
FN-C12,露台小圆茶桌（延后）,1,件,600,0,,,,,,,,,,,,
FN-C13,主卧矮柜,1,件,2200,1,,,,,,,,,,,,
FN-C14,家政用品柜,1,件,1500,1,,,,,,,,,,,,
FN-C15,完整宣纸与卷轴轻放收纳模块,1,件,800,1,,,,,,,,,,,,
FN-A01,床品与保护垫,1,批,4000,1,,,,,,,,,,,,
FN-A01-D,床品与保护垫（延后）,1,批,1000,0,,,,,,,,,,,,
FN-A02,家具配送、上楼、组装与基层固定,1,批,2500,1,,,,,,,,,,,,
FN-A03,维护、保护与收纳小件,1,批,1000,1,,,,,,,,,,,,
AP-A01,400L窄体冰箱,1,台,5999,1,,,,,,,,,,,,
AP-A02,吸油烟机,1,台,2999,1,,,,,,,,,,,,
AP-A03,双眼燃气灶,1,台,999,1,,,,,,,,,,,,
AP-A04,15套洗碗机,1,台,3499,1,,,,,,,,,,,,
AP-A05,洗衣机+热泵烘干机,1,组,7198,1,,,,,,,,,,,,
AP-A06,客厅75英寸电视,1,台,4000,1,,,,,,,,,,,,
AP-A07,五套普通节水坐便器，父母/主卫与其他房间分档,1,组,5600,1,,,,,,,,,,,,
AP-A08,五间卫浴台盆柜组合,1,组,6400,1,,,,,,,,,,,,
AP-A09,五只国产面盆龙头,5,只,350,1,,,,,,,,,,,,
AP-A10,卫浴镜柜,5,只,399,1,,,,,,,,,,,,
AP-A11,四处淋浴分档配置,1,组,7000,1,,,,,,,,,,,,
AP-A12,厨房不锈钢单槽+抽拉龙头,1,组,1848,1,,,,,,,,,,,,
AP-A13,30个基础灯位：国产简洁主灯及适用湿区/户外灯,1,组,8990,1,,,,,,,,,,,,
AP-A14,六盏功能工作台灯,1,组,6300,1,,,,,,,,,,,,
AP-A15,六盏床头阅读灯及光源,6,套,189,1,,,,,,,,,,,,
AP-A16,四处淋浴暖风排风+公卫排风，功能实用款,1,系统,4500,1,,,,,,,,,,,,
AP-A17,按八个使用分区预留的独立分体空调,1,系统,30592,1,,,,,,,,,,,,
AP-A18,三层生活热水：单热源+必要保温/按需回水预算,1,系统,10000,1,,,,,,,,,,,,
AP-A19,镜前、厨房台面及起夜补光,1,组,2410,1,,,,,,,,,,,,
AP-NET01,三层有线回程 Wi-Fi 设备与初次配置,1,组,1250,1,,,,,,,,,,,,
AP-LAU01,洗烘原厂叠放连接件预留,1,组,450,1,,,,,,,,,,,,
AP-O01,可移动除湿机（延后）,1,台,1499,0,,,,,,,,,,,,
AP-O02,扫拖机器人（延后）,1,台,3299,0,,,,,,,,,,,,
AP-O03,操盘显示器与UPS组合（延后）,1,组,5407,0,,,,,,,,,,,,
