编号,材料,使用范围,意向,报价边界,验收,供应商,单价,复测工程量
M01,干区木色地面,卧室、客餐、书法、编织,采用可维修、低气味面层；实木复合/耐磨木纹方案先做样板，湿区另选。,分列面层、基层找平、防潮、踢脚及收口；含拆旧和找平的范围单独报价。,基层含水/平整与材料环境适应按厂家和深化要求验收；不以模型平面证明基层可铺。,,,
M02,湿区防滑面层,卫浴、家政经批准区域,湿态防滑、耐清洁、坡面与地漏协调；小样进行湿水脚感评估。,按铺贴展开面积报价，找坡、防水和地漏另列，不合并隐藏。,检查空鼓、坡向、接缝、地漏收边与试水记录，量化标准写入合同。,,,
M03,户外面层与保护层,三层露台及确认的院落,耐候防滑，便于检修；表面做法不得破坏原防水或堵原排水。,分列基层修复、防水保护、可拆面层、边界收口和检修盖。,节点样板、功能试水、保护层完好及排水可清通。,,,
M04,防水系统,原湿区、露台修缮,由专业与厂家确认兼容系统，包括基层、节点、主层、收头、保护。,按展开面积和节点长度分项；不得仅按桶数或遍数包干。,材料合格文件、批次、施工环境、覆盖前照片、功能试验及修补复验。,,,
M05,墙顶涂饰,室内,哑光可擦洗；潮湿部位防潮处理，不用饰面遮病害。,基层修复、腻子、底涂和面涂分清；样板定色。,接缝、色差、起皮和灯光下表面状态，室内环境按适用要求检测。,,,
M06,定制柜板材及封边,衣柜、书柜、资料柜,低释放材料，整板封边、后背和现场切口一并处理；湿区耐水材料单列。,按柜体展开或投影统一计价方法，门板、抽屉、五金和灯带分别列项。,材质型号可追溯，尺寸与封边样板一致，柜门抽屉可全开，防倾倒节点获基层确认。,,,
M07,台面,厨房、台盆、换盆、工作台,按油、水、热、墨不同用途选耐污材料；避免难维修拼缝。,面材厚度、挡水、开孔、边型与下挂统一列清，安装复尺后下单。,裂损、接缝、开孔支承和设备安装条件按供货图核验。,,,
M08,玻璃隔断与门窗五金,中厨、操盘房、淋浴,选符合适用安全要求的玻璃及系统；淋浴、隔断、门窗不可混用。,玻璃类别、框型、五金、密封、闭门与安装基层单列。,合格证明、安全标识、固定点、扇开启和碰撞工况；防夹和维修条件确认。,,,
M09,窗帘与遮阳,卧室、操盘、书法,卧室遮光/纱帘双层意向，书法与操盘控制眩光；不遮应开启窗和检修。,轨道、帘布、驱动和电源预留分列，布量按选型褶皱比例后算。,全开/全闭覆盖与操作、与柜体及窗扇冲突检查。,,,
M10,灯具及控制,各房与户外,基础、工作、夜间三层照明；色温与显色以样灯和使用者体验定板。,灯具、驱动、控制器、安装及调试分别列；电气参数由专业选型。,工作面实测与使用者试用，驱动器可检修，停电后控制恢复逻辑明确。,,,
M11,电源、网络和弱电面板,桌面、床头、电视、设备,按功能需求布点，网络优先有线到关键工作位，预留可换线管路意向。,点位不等于回路；线缆、管路、配电、接地、测试分别列。,线路标识、测试记录、端口连通、装配位置与家具不冲突。,,,
M12,洁具与镜柜配件,全部卫浴,节水、可维护，镜柜避潮湿电气风险；配件位置先做现场模板。,型号、安装组件、角阀、软管、存水弯与密封安装完整报价。,通水排水、检修开口、关阀和使用姿态测试。,,,
M13,轻型花箱,露台和确认的外园,移动模块，轻量壳体、独立内胆、可控排水；基质及支承按荷载核定。,壳体、内胆、基质、植物、保护垫、运输与养护单列。,称重/计算最大饱和重量，核支点与防风固定，不损防水。,,,
M14,滴灌与园林给水,经确认的花园,分区可关断、过滤、压力控制、防回流与可排空意向。,主管/支管/滴头/阀组/控制/冬季处理按深化清单报价。,均匀出水、断水不虹吸、漏水关断、过滤和阀门可操作。,,,
M15,花园坐凳与换盆台,露台,可移动耐候构件，避免尖角；下方能清扫并看见排水。,材料、面层、防腐/耐候处理、可拆连接和养护单列。,稳定性、积水、支脚保护和实际搬移演示。,,,
M16,电梯及配套系统,中央井位,厂家完整机型方案与建筑/结构联合确认；模型仅占位。,设备、支承土建、底坑/顶层、供电通信、门套恢复、救援、调试、保养分开。,依据最终分类与厂家技术文件完成相应检查及移交；不凭模型验收设备。,,,
